Setting,Model,N_fake,Missed_fake,Miss_rate,Mean_words_missed,Mean_words_caught,Digit_share_missed,Digit_share_caught,Quote_share_missed,Quote_share_caught
zero_shot,llama32-3B,254,67,0.2637795275590551,253.86567164179104,300.3422459893048,0.7611940298507462,0.6363636363636364,0.5522388059701493,0.6631016042780749
zero_shot,mistral-7B,254,192,0.7559055118110236,301.390625,246.8709677419355,0.6979166666666666,0.5806451612903226,0.6770833333333334,0.5
zero_shot,deepseek-8B,254,81,0.3188976377952756,306.5432098765432,279.4393063583815,0.7283950617283951,0.6416184971098265,0.6296296296296297,0.6358381502890174
zero_shot,phi4-14B,254,93,0.3661417322834646,257.8279569892473,305.55900621118013,0.7741935483870968,0.6086956521739131,0.6021505376344086,0.6521739130434783
zero_shot,gemma2-27B,254,62,0.2440944881889764,254.83870967741936,298.8177083333333,0.7903225806451613,0.6302083333333334,0.6290322580645161,0.6354166666666666
zero_shot,qwen-72B,254,79,0.3110236220472441,268.2278481012658,297.04571428571427,0.8227848101265823,0.6,0.5822784810126582,0.6571428571428571
few_shot,llama32-3B,254,154,0.6062992125984252,293.7402597402597,279.37,0.7467532467532467,0.55,0.6363636363636364,0.63
few_shot,mistral-7B,254,178,0.7007874015748031,269.4719101123595,331.67105263157896,0.6853932584269663,0.631578947368421,0.6573033707865169,0.5789473684210527
few_shot,deepseek-8B,254,140,0.5511811023622047,281.37857142857143,296.3157894736842,0.6928571428571428,0.6403508771929824,0.6214285714285714,0.6491228070175439
few_shot,phi4-14B,254,74,0.29133858267716534,268.64864864864865,296.0722222222222,0.8108108108108109,0.6111111111111112,0.6621621621621622,0.6222222222222222
few_shot,gemma2-27B,254,73,0.2874015748031496,266.43835616438355,296.8121546961326,0.7671232876712328,0.6298342541436464,0.589041095890411,0.6519337016574586
few_shot,qwen-72B,254,79,0.3110236220472441,271.0506329113924,295.77142857142854,0.7848101265822784,0.6171428571428571,0.5949367088607594,0.6514285714285715
